INVHED_TXNDATE,orders,sale
6/16/2025,2086,6966278.65
6/17/2025,2009,4288605.85
6/18/2025,2125,4439398.28
6/19/2025,2121,4721450.61
6/20/2025,2121,3946500.33
6/21/2025,2315,5022868.67
6/22/2025,2404,5235501.15
6/23/2025,2090,4431881.21
6/24/2025,2124,4424428.89
6/25/2025,2185,4693239.31
6/26/2025,2226,4594347.53
6/27/2025,2164,4445884.74
6/28/2025,2388,5084217.61
6/29/2025,2619,5689119.13
6/30/2025,2237,4888486.19
7/1/2025,2289,4976431.96
7/2/2025,2288,4863595.94
7/3/2025,2278,4939201.39
7/4/2025,2346,4730045.92
7/5/2025,2493,5267433.05
7/6/2025,2654,5677624.14
7/7/2025,1111,2506902.57
7/8/2025,2161,4594119.65
7/9/2025,2283,4593610.15
7/10/2025,2705,5167861.4
7/11/2025,2092,4199186.81
7/12/2025,2256,4660816.26
7/13/2025,2363,4938002.63
7/14/2025,1838,3706654.73
7/15/2025,1871,3881864.81
7/16/2025,2071,4283910.2
7/17/2025,2189,4470858.88
7/18/2025,2144,4284316.14
7/19/2025,2291,4697455.67
7/20/2025,2554,5433679.32
7/21/2025,2046,4386156.29
7/22/2025,2118,4411671.04
7/23/2025,2094,4305600.78
7/24/2025,2203,4659133.5
7/25/2025,2187,4772475.46
7/26/2025,2380,5029411.15
7/27/2025,2605,5632086.66
7/28/2025,2188,4625603.95
7/29/2025,2258,4628874.45
7/30/2025,2217,4418948.2
7/31/2025,2086,4497115.42
8/1/2025,2261,4723931.17
8/2/2025,2396,4993559.25
8/3/2025,2454,5423142.55
8/4/2025,2201,4501092.5
8/5/2025,2150,4353056.24
8/6/2025,2190,4379598.4
8/7/2025,2318,4873680.12
8/8/2025,2723,5473884.15
8/9/2025,2216,4677446.48
8/10/2025,2482,5255256.17
8/11/2025,2101,4713108.79
8/12/2025,2071,4329021.14
8/13/2025,2056,4276739.95
8/14/2025,2043,4476171.21
8/15/2025,2196,3870912.48
8/16/2025,2395,4870337.26
8/17/2025,2353,4939395.28
8/18/2025,2168,4990622.4
8/19/2025,2041,4074984.64
8/20/2025,2095,4233722.38
8/21/2025,2138,4362340.22
8/22/2025,2193,4397357.96
8/23/2025,2489,5167483.68
8/24/2025,2536,5273038.04
